battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,12,48,kits,BRL,Neosolar,NEO-24448,,,,,,"Kit de Energia Solar Off Grid c/ Inversor Carregador - 2,61kWp 660Ah 48/220V (24448)",,,435,6,61.0,2610,0,,,draft,Solar Kit|Neosolar,12,0,6,0,Solar Kit Off-Grid
,,8,48,kits,BRL,Neosolar,NEO-24445,,,,,,"Kit de Energia Solar Nobreak c/ Inversor Carregador - 3,48kWp 440Ah 48/220V (24445)",,,435,8,48.0,3480,0,,,draft,Solar Kit|Neosolar,8,0,8,0,Solar Kit Off-Grid
,,12,48,kits,BRL,Neosolar,NEO-24448,https://portal.zydon.com.br/api/files/49c9219a-ce42-4c43-b963-f96f363f7ae4/content?ingress=portalb2b.neosolar.com.br,,,,,"Kit de Energia Solar Off Grid c/ Inversor Carregador - 2,61kWp 660Ah 48/220V (24448)",,,435,6,61.0,2610,0,,,draft,Solar Kit|Neosolar,12,0,6,0,Solar Kit Off-Grid
,,8,48,kits,BRL,Neosolar,NEO-24445,https://portal.zydon.com.br/api/files/4c752ccf-33d6-43a5-a060-c80125d37d48/content?ingress=portalb2b.neosolar.com.br,,,,,"Kit de Energia Solar Nobreak c/ Inversor Carregador - 3,48kWp 440Ah 48/220V (24445)",,,435,8,48.0,3480,0,,,draft,Solar Kit|Neosolar,8,0,8,0,Solar Kit Off-Grid
,,12,48,kits,BRL,Neosolar,NEO-24448,,,,,,"Kit de Energia Solar Off Grid c/ Inversor Carregador - 2,61kWp 660Ah 48/220V (24448)",,,435,6,61.0,2610,0,,,draft,Solar Kit|Neosolar,12,0,6,0,Solar Kit Off-Grid
,,8,48,kits,BRL,Neosolar,NEO-24445,,,,,,"Kit de Energia Solar Nobreak c/ Inversor Carregador - 3,48kWp 440Ah 48/220V (24445)",,,435,8,48.0,3480,0,,,draft,Solar Kit|Neosolar,8,0,8,0,Solar Kit Off-Grid
,,8,48,kits,BRL,Neosolar,NEO-24446,,,,,,"Kit de Energia Solar Nobreak c/ Inversor Carregador - 3,48kWp 440Ah 48/220V (24446)",,,435,8,48.0,3480,0,,,draft,Solar Kit|Neosolar,8,0,8,0,Solar Kit Off-Grid
,,12,48,kits,BRL,Neosolar,NEO-24447,,,,,,"Kit de Energia Solar Off Grid c/ Inversor Carregador - 2,61kWp 660Ah 48/220V (24447)",,,435,6,61.0,2610,0,,,draft,Solar Kit|Neosolar,12,0,6,0,Solar Kit Off-Grid
