battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,3,48,kits,BRL,Neosolar,NEO-26853,,,,,1,"Kit Energia Solar On Grid Híbrido - 9.92kWp 4,8kWh Lítio 48V (26853)",,,620,16,9.92,9920,0,,,draft,Solar Kit|Neosolar,3,1,16,0,Solar Kit Hybrid
,,5,48,kits,BRL,Neosolar,NEO-26855,,,,,1,"Kit Energia Solar On Grid Híbrido - 9.92kWp 4,8kWh Lítio 48V (26855)",,,620,16,9.92,9920,0,,,draft,Solar Kit|Neosolar,5,1,16,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-26854,,,,,1,"Kit Energia Solar On Grid Híbrido - 9.92kWp 4,8kWh Lítio 48V (26854)",,,620,16,9.92,9920,0,,,draft,Solar Kit|Neosolar,4,1,16,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24924,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24924)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,4,1,10,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24923,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24923)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,4,1,10,0,Solar Kit Hybrid
,,3,48,kits,BRL,Neosolar,NEO-24908,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24908)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,3,1,16,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24909,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24909)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,4,1,16,0,Solar Kit Hybrid
,,3,48,kits,BRL,Neosolar,NEO-24931,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24931)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,3,1,16,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24942,,,,,1,"Kit Energia Solar On Grid Híbrido - 14,64kWp 4,8kWh Lítio 48V (24942)",,,610,24,64.0,14640,0,,,draft,Solar Kit|Neosolar,1,1,24,0,Solar Kit Hybrid
,,2,48,kits,BRL,Neosolar,NEO-24919,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24919)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,2,1,10,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24900,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24900)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,4,1,10,0,Solar Kit Hybrid
,,4,48,kits,BRL,Neosolar,NEO-24899,,,,,1,"Kit Energia Solar On Grid Híbrido - 6,1kWp 4,8kWh Lítio 48V (24899)",,,610,10,1.0,6100,0,,,draft,Solar Kit|Neosolar,4,1,10,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24903,,,,,1,"Kit Energia Solar On Grid Híbrido - 9,76kWp 4,8kWh Lítio 48V (24903)",,,610,16,76.0,9760,0,,,draft,Solar Kit|Neosolar,1,1,16,0,Solar Kit Hybrid
,,1,48,kits,BRL,Neosolar,NEO-24902,,,,,1,"Kit Energia Solar On Grid Híbrido - 5,49kWp 4,8kWh Lítio 48V (24902)",,,610,9,49.0,5490,0,,,draft,Solar Kit|Neosolar,1,1,9,0,Solar Kit Hybrid
