battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,panels,BRL,Solfacil,solfacil_inverters_14,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600463.png,,,,,GOODWE GW10K-MS-G40 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_15,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600398.png,,,,,GOODWE GW10K-MS-G40 - AFCI C/ RSD,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_16,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600308.png,,,,,GROWATT MID 20KTL3 XL2 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_17,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600307.png,,,,,GROWATT MID 20KTL3 XL2 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_18,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600387.png,,,,,HUAWEI SUN2000-12K-MB0 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_19,,,,,,GROWATT MID 25KTL3-X,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_21,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600388.png,,,,,HUAWEI SUN2000-15K-MB0 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_22,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,DEYE SUN-25K-G02-LV,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_23,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW 12KLV-SDT-C30 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_24,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600453.png,,,,,GOODWE GW20K-SDT-31 - AFCI C/ RSD,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_25,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600400.png,,,,,GOODWE GW12KLV-SDT-C31 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_26,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600381.png,,,,,SOFAR 25KTLX-G3-LV - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_27,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600404.png,,,,,GOODWE GW25K-SDT-P31 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_28,/catalog/images/SOLFACIL-INVERTERS/image.jpg,,,,,GOODWE GW 12KLV-MT,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_29,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600452.png,,,,,GOODWE GW25K-SDT-P31 - AFCI C/ RSD,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_30,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW6000-ES-BR20 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_31,/catalog/images/SOLFACIL-INVERTERS/image.webp,,,,,GOODWE GW6000-SBP-20,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_32,/catalog/images/SOLFACIL-INVERTERS/image.jpeg,,,,,GOODWE GW 15KLV-MT,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_33,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600314.png,,,,,GROWATT MID 50KTL3-X2 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_34,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW 30K-SDT-C30 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_35,/catalog/images/SOLFACIL-INVERTERS/image.jpeg,,,,,DEYE SUN-35K-G02-LV,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_36,/catalog/images/SOLFACIL-INVERTERS/image.jpg,,,,,DEYE SUN-35K-G02-LV,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_37,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW3600-ES-BR20 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
