CNPJ;Sigla;Razão Social;Ativo;Distribuição;Geração;Transmissão;Comercialização;Estados Atendidos;Total Municípios;Lat Mínima;Lat Máxima;Lng Mínima;Lng Máxima;Lat Centro;Lng Centro;Tarifa Vigência Início;Tarifa Vigência Fim;Tarifa Modalidade;Tarifa Valor kWh;Projetos GD Total;Projetos GD Classe;Projetos GD Tipos;Mercado Anual Estimado
19527639000158;EMR;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Sim;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
33249046000106;ENF;ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Sim;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
9095183000140;EPB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;Sim;Sim;Não;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
5914650000166;ERO;ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A;Sim;Sim;Sim;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
13017462000163;ESE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;Sim;Sim;Não;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
7282377000120;ESS;ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Não;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
25086034000171;ETO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Sim;Não;Não;MT, MS, TO, RO, AC, SE, PB, MG, SP, RJ, PR;901;-26.4296;-6.1219;-71.812;-33.845;-15.803554545454546;-49.88028181818181;;;;;78000.0;;;R$ 35.1M
12272084000100;EQUATORIAL AL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Não;Não;Não;MA, PA, PI, AL;687;-10.6658;-0.4554;-49.4898;-34.7353;-4.6872750000000005;-42.82775;;;;;41000.0;;;R$ 18.5M
1543032000104;EQUATORIAL GO;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;Sim;Sim;Não;Não;Não;MA, PA, PI, AL;687;-10.6658;-0.4554;-49.4898;-34.7353;-4.6872750000000005;-42.82775;;;;;41000.0;;;R$ 18.5M
6272793000184;EQUATORIAL MA;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;Sim;Sim;Sim;Não;Não;MA, PA, PI, AL;687;-10.6658;-0.4554;-49.4898;-34.7353;-4.6872750000000005;-42.82775;;;;;41000.0;;;R$ 18.5M
4895728000180;EQUATORIAL PA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Sim;Não;Não;MA, PA, PI, AL;687;-10.6658;-0.4554;-49.4898;-34.7353;-4.6872750000000005;-42.82775;;;;;41000.0;;;R$ 18.5M
6840748000189;EQUATORIAL PI;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;Sim;Sim;Não;Não;Não;MA, PA, PI, AL;687;-10.6658;-0.4554;-49.4898;-34.7353;-4.6872750000000005;-42.82775;;;;;41000.0;;;R$ 18.5M
28127806000164;ETENE;ETENE - EMPRESA TRANSMISSORA DE ENERGIA DO NORDESTE S/A;Sim;Sim;Não;Sim;Não;;0;;;;;;;;;;;;;;
87909586000190;EEVP;FED DAS COOP DE ENERGIA TELEFONICA E DES RURAL RGS LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
79850574000109;PACTO ENERGIA PR;FORCA E LUZ CORONEL VIVIDA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
47946172000116;;HIDROELETRICA BRACO SUL LTDA;Sim;Sim;Sim;Não;Sim;;0;;;;;;;;;;;;;;
44461290000146;;HIDROELETRICA DIAMANTINO LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
91982348000187;HIDROPAN;HIDROPAN DISTRIBUICAO DE ENERGIA S.A.;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
60444437000146;LIGHT SESA;LIGHT SERVICOS DE ELETRICIDADE S A;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
43963007000111;;MATO GROSSO EMPREENDIMENTO ENERGETICO LTDA;Sim;Sim;Sim;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
97578090000134;MUXENERGIA;MUXFELDT MARIN E CIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
7522669000192;Neoenergia Brasília;NEOENERGIA DISTRIBUICAO BRASILIA S.A.;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
89889604000144;UHENPAL;NOVA PALMA ENERGIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
23888824000145;VDB III;PARQUE EOLICO VENTOS DA BAHIA III S.A.;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45390819000140;;PARQUE SOLAR ALTUS 1 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45391268000130;;PARQUE SOLAR ALTUS 10 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45391255000160;;PARQUE SOLAR ALTUS 12 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45391500000130;;PARQUE SOLAR ALTUS 13 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45391313000156;;PARQUE SOLAR ALTUS 14 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45391429000195;;PARQUE SOLAR ALTUS 15 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45391444000133;;PARQUE SOLAR ALTUS 16 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45389135000129;;PARQUE SOLAR ALTUS 2 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45429236000186;;PARQUE SOLAR ALTUS 3 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45390125000103;;PARQUE SOLAR ALTUS 4 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45422206000148;;PARQUE SOLAR ALTUS 5 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45390238000109;;PARQUE SOLAR ALTUS 6 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
45391470000161;;PARQUE SOLAR ALTUS 7 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45390901000175;;PARQUE SOLAR ALTUS 8 LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
45391079000167;;PARQUE SOLAR ALTUS 9 LTDA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
13744588000130;;PHOENIX ENERGIAS RENOVAVEIS LTDA.;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
2016440000162;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Sim;Sim;Não;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
2016439000138;RGE;RIO GRANDE ENERGIA SA;Sim;Sim;Não;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
2341470000144;BOA VISTA;RORAIMA ENERGIA S.A;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
43929283000163;SENTO SE VIII;SENTO SE VIII ENERGIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
43970469000166;SENTO SE XI;SENTO SE XI ENERGIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
43973055000190;SENTO SE XIII;SENTO SE XIII ENERGIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
43970792000130;SENTO SE XIV;SENTO SE XIV ENERGIA LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
18835594000116;SERTÃO BRASIL;SERTAO BRASIL ENERGIA SOLAR LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
35721401000115;;SOLTEC BRASIL DESENVOLVIMENTO DE PROJETOS DE ENERGIA E PARTICIPACOES LTDA.;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
43651532000100;GYBR X;UFV GYBR X CONSULTORIA EM GESTAO E INSTALACAO FOTOVOLTAICA LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
43651000000164;GYBR XIII;UFV GYBR XIII CONSULTORIA EM GESTAO E INSTALACAO FOTOVOLTAICA LTDA;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
39841138000159;;USINA FOTOVOLTAICA VALE DO BOM JESUS LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
15673859000139;;VENTOS DE SANTA INES ENERGIAS RENOVAVEIS SA;Sim;Sim;Sim;Não;Sim;;0;;;;;;;;;;;;;;
14676003000154;VSA VIII;VENTOS DE SANTO AUGUSTO VIII ENERGIAS RENOVAVEIS S.A;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
