CNPJ;Sigla;Razão Social;Ativo;Distribuição;Geração;Transmissão;Comercialização;Estados Atendidos;Total Municípios;Lat Mínima;Lat Máxima;Lng Mínima;Lng Máxima;Lat Centro;Lng Centro;Tarifa Vigência Início;Tarifa Vigência Fim;Tarifa Modalidade;Tarifa Valor kWh;Projetos GD Total;Projetos GD Classe;Projetos GD Tipos;Mercado Anual Estimado
11615872000180;CERSAD DISTRIBUI;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA SALTO DONNER;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
11810343000138;CODESAM;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA SANTA MARIA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
98042963000152;CERTHIL;COOPERATIVA DE DISTRIBUICAO DE ENERGIA ENTRE RIOS LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
9257558000121;CERTEL ENERGIA;COOPERATIVA DE DISTRIBUICAO DE ENERGIA TEUTONIA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
97081434000103;CERMISSÕES;COOPERATIVA DE DISTRIBUICAO E GERACAO DE ENERGIA DAS MISSOES - CERMISSOES;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
52777034000190;CEMIRIM;COOPERATIVA DE ELETR. E DESENV. DA REGIAO DE MOGI MIRIM;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
86449170000173;CERGRAL;COOPERATIVA DE ELETRICIDADE DE GRAVATAL;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
85318640000105;CERPALO;COOPERATIVA DE ELETRICIDADE DE PAULO LOPES;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
86444163000189;CEGERO;COOPERATIVA DE ELETRICIDADE DE SAO LUDGERO;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
1229747000189;CERGAPA;COOPERATIVA DE ELETRICIDADE GRAO PARA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
78274610000170;CEPRAG;COOPERATIVA DE ELETRICIDADE PRAIA GRANDE;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
86439510000185;CERGAL;COOPERATIVA DE ELETRIFICACAO ANITA GARIBALDI;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
87776043000141;CELETRO;COOPERATIVA DE ELETRIFICACAO CENTRO JACUI LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
57384943000182;CERIS;COOPERATIVA DE ELETRIFICACAO DA REGIAO DE ITAPECERICA DA SERRA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
60196987000193;CEDRAP;COOPERATIVA DE ELETRIFICACAO DA REGIAO DO ALTO PARAIBA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
86433042000131;CERBRANORTE;COOPERATIVA DE ELETRIFICACAO DE BRACO DO NORTE;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
49313653000110;CETRIL;COOPERATIVA DE ELETRIFICACAO DE IBIUNA E REGIAO;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
52548732000114;CERMC;COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO DA REGIAO DE MOGI DAS CRUZES;Sim;Sim;Não;Não;Sim;;0;;;;;;;;;;;;;;
46598678000119;CERRP;COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO DA REGIAO DE SAO JOSE DO RIO PRETO-CERRP;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
13107842000199;CERCOS;COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
53176038000186;CERNHE;COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL DA REGIAO DE NOVO HORIZONTE;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
50105865000190;CEDRI;COOPERATIVA DE ELETRIFICACAO E DISTRIBUICAO DA REGIAO DE ITARIRI;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
75568154000183;COOPERMILA;COOPERATIVA DE ELETRIFICACAO LAURO MULLER;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
27707397000102;CERCI;COOPERATIVA DE ELETRIFICACAO RURAL CACHOEIRAS ITABORAI LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
45961307000197;CERMESO;COOPERATIVA DE ELETRIFICACAO RURAL DA MEDIA SOROCABANA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
53340840000160;CEROC;COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE OSVALDO CRUZ;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
48375950000127;CERPAL;COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE PALMITAL 'CERPAL';Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
44560381000139;CERPRO;COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE PROMISSAO;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
72557085000114;CERT;COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE TUPA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
76995232000199;CERCHO;COOPERATIVA DE ELETRIFICACAO RURAL DE CHOPINZINHO LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
31465487000101;CERES;COOPERATIVA DE ELETRIFICACAO RURAL DE RESENDE LTDA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
50235449000107;CERIM;COOPERATIVA DE ELETRIFICAO E DESENVOLVIMENTO DA REGIAO DE ITU MAIRINQUE;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
76583962000182;CERTREL;COOPERATIVA DE ENERGIA TREVISO;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
55188502000180;CERVAM;COOPERATIVA DE ENERGIZACAO E DE DESENVOLVIMENTO DO VALE DO MOGI;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
3747565000125;UFV SANTA TEREZINHA;COOPERATIVA DE ENERGIZACAO E DESENVOLVIMENTO RURAL DA GRANDE DOURADOS CERGRAND;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
15939937000102;CERBEMS;COOPERATIVA DE ENERGIZACAO E DESENVOLVIMENTO RURAL DO BOLSAO DO ESTADO DE MATO GROSSO DO SUL;Sim;Sim;Sim;Sim;Não;;0;;;;;;;;;;;;;;
78322229000130;CERAL;COOPERATIVA DE INFRA ESTRUTURA DE ARAPOTI - CERAL.;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
76108240000176;ELETRORURAL;COOPERATIVA DE INFRAESTRUTURA CASTROLANDA - ELETRORURAL;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
76202779000190;CERPA;COOPERATIVA DE INFRAESTRUTURA E ELETRIFICACAO RURAL DE PALOTINA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
82574864000181;CEREJ;COOPERATIVA DE PRESTACAO DE SERVICOS PUBLICOS DE DISTRIBUICAO DE ENERGIA ELETRICA SENADOR ESTEVES JUNIOR - CEREJ;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
86532348000145;COOPERCOCAL;COOPERATIVA ENERGETICA COCAL;Sim;Sim;Não;Não;Não;RS;381;-31.0346;-29.0346;-52.2177;-50.2177;-30.0346;-51.2177;;;;;16000.0;;;R$ 7.2M
86533346000170;CERMOFUL;COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
83646653000170;COOPERA;COOPERATIVA PIONEIRA DE ELETRIFICACAO - COOPERA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
88022918000182;COOPERNORTE;COOPERATIVA REGIONAL DE DISTRIBUICAO DE ENERGIA DO LITORAL NORTE - COOPERNORTE;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
