distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Solfacil,solfacil_cables_23,"CABO SOLAR 6,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 6,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_24,"CABO CA 1KV 6,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 6,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_25,"CABO CA 1KV 6,0MM PRETO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 6,0MM PRETO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_26,"CABO PP MULTIVIAS 1KV 3 X 4,0MM PRETO C/ 50M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO PP MULTIVIAS 1KV 3 X 4,0MM PRETO C/ 50M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_27,"CABO CA 1KV 10,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 10,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_28,"CABO CA 1KV 10,0MM PRETO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 10,0MM PRETO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_29,"CABO PP MULTIVIAS 1KV 3 X 6,0MM PRETO C/ 50M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO PP MULTIVIAS 1KV 3 X 6,0MM PRETO C/ 50M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_30,"CABO SOLAR 4,0MM2 VERMELHO C/ 500 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/ 500 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_31,"CABO CA 1KV 25,0MM PRETO C/ 50 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 25,0MM PRETO C/ 50 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_32,"CABO CA 1KV 25,0MM VERMELHO C/ 50 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 25,0MM VERMELHO C/ 50 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_33,"CABO CA 1KV 16,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 16,0MM VERMELHO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_34,"CABO CA 1KV 16,0MM PRETO C/ 100 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 16,0MM PRETO C/ 100 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_35,"CABO CA 1KV 35,0MM VERMELHO C/ 50 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 35,0MM VERMELHO C/ 50 M (CABRNAX 90°C)",,,,,,,,,,,
Solfacil,solfacil_cables_36,"CABO CA 1KV 35,0MM PRETO C/ 50 M (CABRNAX 90°C)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO CA 1KV 35,0MM PRETO C/ 50 M (CABRNAX 90°C)",,,,,,,,,,,
