distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00307,SOLIS ON-GRID 40KW - 380V - 4 MPPT - AFCI (S5-GC40K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 40KW - 380V - 4 MPPT - AFCI (S5-GC40K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00343,SOLIS ON-GRID 250KW - 800V - 12 MPPT - (250K-EHV-5G-PLUS),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 250KW - 800V - 12 MPPT - (250K-EHV-5G-PLUS),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00313,SOLIS ON-GRID 125KW - 600V - 1 MPPT - (125K1-EHV-5G),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 125KW - 600V - 1 MPPT - (125K1-EHV-5G),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00322,GROWATT NEO 2250M - X2 - 2250W - 220V,Growatt,,,inverters,,,,,,,,,BRL,GROWATT NEO 2250M - X2 - 2250W - 220V,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00344,SOLIS ON-GRID 110KW - 380V - 10 MPPT - AFCI (S6-GC110K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 110KW - 380V - 10 MPPT - AFCI (S6-GC110K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00345,SOLIS ON-GRID 100KW - 380V - 10 MPPT - AFCI (S6-GC100K),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 100KW - 380V - 10 MPPT - AFCI (S6-GC100K),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00342,SOLIS ON-GRID 8KW - 220V - 2 MPPT - AFCI (S6-GR1P8K2),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 8KW - 220V - 2 MPPT - AFCI (S6-GR1P8K2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00341,SOLIS ON-GRID 10KW - 220V - 3 MPPT - AFCI (S6-GR1P10K03-NV-ND),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 10KW - 220V - 3 MPPT - AFCI (S6-GR1P10K03-NV-ND),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00340,SOLIS ON-GRID 7KW - 220V - 2 MPPT - AFCI (S6-GR1P7K2),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 7KW - 220V - 2 MPPT - AFCI (S6-GR1P7K2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00339,SOLIS ON-GRID 20KW - 220V - 3 MPPT - AFCI (S5-GC20K-LV),Solis,,,inverters,,,,,,,,,BRL,SOLIS ON-GRID 20KW - 220V - 3 MPPT - AFCI (S5-GC20K-LV),,,,,,,,,,,
