avg_price,distributors_count,id_Fortlev,id_Fotus,id_Neosolar,inverter_manufacturer,max_price,min_price,panel_manufacturer,panel_power_w,price_Fortlev,price_Fotus,price_Neosolar,price_diff,price_diff_pct,system_kwp
12113.348484848484,33,,,NEO-26645,,22513.72,5327.97,,620,,,15379.46,17185.75,322.5571840682286,72.0
21841.997317073172,81,,,NEO-27049,,32417.63,15381.27,,620,,,17603.97,17036.36,110.76042485438458,2.0
11169.838333333333,24,,,NEO-27378,,13837.36,6807.53,,620,,,13837.36,7029.830000000001,103.26550158427507,24.0
24077.303333333333,57,,,NEO-26828,,31861.03,16293.58,,565,,,0,15567.449999999999,95.54345944844533,5.65
15526.958181818183,11,,,NEO-27070,,22431.66,12377.37,,620,,,12377.37,10054.289999999999,81.23123086730055,6.0
5344.89,20,,,NEO-25053,,6812.12,3767.8,,340,,,4624.47,3044.3199999999997,80.79834386113912,0.68
1299.506153846154,14,,,NEO-23922,,1629.26,913.01,,60,,,0,716.25,78.44930504594693,0.06
1264.0958823529413,18,,,NEO-25156,,1645.23,928.98,,100,,,1579.29,716.25,77.10069108053995,0.1
18285.251666666667,12,,,NEO-26626,,22605.2,14171.64,,565,,,22605.2,8433.560000000001,59.51012021191621,95.0
1719.1323076923077,16,,,NEO-25046,,2135.52,1423.43,,160,,,1423.43,712.0899999999999,50.026344814989145,0.16
1056.2325,9,,,NEO-25043,,1256.64,858.28,,30,,,861.47,398.3600000000001,46.413757748054266,0.03
6236.02,4,fortlev_kit_066,,,,7858.86,5457.3,Longi,585,7858.86,,,2401.5599999999995,44.006376779726224,4.09
6657.91,4,fortlev_kit_069,,,,8280.75,5879.19,Longi,630,8280.75,,,2401.5600000000004,40.84848422997047,4.41
2231.0,21,,,NEO-26947,,2582.62,1899.49,,0,,,2489.31,683.1299999999999,35.96386398454322,0.62
3199.6800000000003,12,,,NEO-25162,,3515.34,2596.31,,340,,,3515.34,919.0300000000002,35.39754497729471,0.34
29423.893333333337,32,,,NEO-26833,,33828.23,25019.56,,565,,,0,8808.670000000002,35.2071339384066,9.04
30314.463333333333,36,,,NEO-26854,,34718.8,25910.13,,620,,,0,8808.670000000002,33.997011979484476,9.92
2386.5129411764706,22,,,NEO-23931,,2877.28,2159.1,,160,,,0,718.1800000000003,33.26293362975316,0.32
8138.5775,4,fortlev_kit_095,,,,9761.42,7359.85,BYD,530,9761.42,,,2401.5699999999997,32.63069220160737,4.24
9085.99,3,,,NEO-25057,,9864.46,7529.05,,435,,,7529.05,2335.409999999999,31.018654411911186,74.0
2638.5036842105264,19,,,NEO-26921,,3020.61,2309.19,,0,,,3020.61,711.4200000000001,30.808205474646954,1.24
