battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_084,,,1,Kit 6.93kWp - Longi + Inverter,Longi,630,11,6.93,6930.0,8772.94,1.27,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_085,Sungrow,,1,Kit 7.02kWp - Longi + Sungrow,Longi,585,12,7.02,7020.0,8821.14,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_087,,,1,Kit 7.02kWp - Longi + Inverter,Longi,585,12,7.02,7020.0,8828.45,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_089,,,1,Kit 7.02kWp - Longi + Inverter,Longi,585,12,7.02,7020.0,8832.1,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_092,Sungrow,,1,Kit 6.93kWp - Longi + Sungrow,Longi,630,11,6.93,6930.0,8943.28,1.29,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_093,,,1,Kit 6.93kWp - Longi + Inverter,Longi,630,11,6.93,6930.0,8950.59,1.29,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_094,,,1,Kit 6.93kWp - Longi + Inverter,Longi,630,11,6.93,6930.0,8954.24,1.29,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_105,,,1,Kit 8.78kWp - Longi + Inverter,Longi,585,15,8.78,8780.0,10378.82,1.18,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_107,,,1,Kit 8.78kWp - Longi + Inverter,Longi,585,15,8.78,8780.0,10390.52,1.18,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_108,,,1,Kit 8.78kWp - Longi + Inverter,Longi,585,15,8.78,8780.0,10437.22,1.19,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_109,,,1,Kit 8.78kWp - Longi + Inverter,Longi,585,15,8.78,8780.0,10535.76,1.2,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_110,,,1,Kit 8.82kWp - Longi + Inverter,Longi,630,14,8.82,8820.0,10681.77,1.21,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_112,,,1,Kit 8.82kWp - Longi + Inverter,Longi,630,14,8.82,8820.0,10693.47,1.21,0,1,1,Solar Kit
