sku,category,manufacturer,power_w,capacity_kwh,price_brl,list_price_brl,cost_price_brl,supplier,source,confidence,image_url
"FOTUSKP031136KWPMINITRILHOKITS","kits","",1136000,,5114500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-MiniTrilho-kits.jpg"
"FOTUSKP021065KWPCERAMICOKITS","kits","",1065000,,4795000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg"
"FOTUSKP021065KWPFIBROCIMENTOKITS","kits","",1065000,,4795000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg"
"FOTUSKP021065KWPMINITRILHOKITS","kits","",1065000,,4795000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg"
"FOTUSKP041026KWPCERAMICOKITS","kits","",1026000,,4619500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg"
"FOTUSKP041026KWPFIBROCIMENTOKITS","kits","",1026000,,4619500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg"
"FOTUSKP041026KWPMINITRILHOKITS","kits","",1026000,,4619500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg"
"FOTUSKP04840KWPCERAMICOKITSHIBRIDOS","kits","",840000,,4539000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg"
"FOTUSKP04840KWPFIBROCIMENTOKITSHIBRIDOS","kits","",840000,,4539000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg"
"FOTUSKP04840KWPMINITRILHOKITSHIBRIDOS","kits","",840000,,4539000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg"
"FOTUSKP02994KWPCERAMICOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg"
"FOTUSKP02994KWPFIBROCIMENTOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Fibrocimento-kits.jpg"
"FOTUSKP02994KWPMINITRILHOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-MiniTrilho-kits.jpg"
"FOTUSKP03994KWPCERAMICOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Ceramico-kits.jpg"
"FOTUSKP03994KWPFIBROCIMENTOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-Fibrocimento-kits.jpg"
"FOTUSKP03994KWPMINITRILHOKITS","kits","",994000,,4475500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-994kWp-MiniTrilho-kits.jpg"
"FOTUSKP04969KWPCERAMICOKITS","kits","",969000,,4363000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Ceramico-kits.jpg"
"FOTUSKP04969KWPFIBROCIMENTOKITS","kits","",969000,,4363000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-Fibrocimento-kits.jpg"
"FOTUSKP04969KWPMINITRILHOKITS","kits","",969000,,4363000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-969kWp-MiniTrilho-kits.jpg"
"FOTUSKP02960KWPCERAMICOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Ceramico-kits.jpg"
"FOTUSKP02960KWPFIBROCIMENTOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-Fibrocimento-kits.jpg"
"FOTUSKP02960KWPMINITRILHOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-960kWp-MiniTrilho-kits.jpg"
"FOTUSKP04960KWPCERAMICOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Ceramico-kits.jpg"
"FOTUSKP04960KWPFIBROCIMENTOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Fibrocimento-kits.jpg"
"FOTUSKP04960KWPMINITRILHOKITS","kits","",960000,,4322500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-MiniTrilho-kits.jpg"
"FOTUSKP04912KWPCERAMICOKITS","kits","",912000,,4106500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Ceramico-kits.jpg"
"FOTUSKP04912KWPFIBROCIMENTOKITS","kits","",912000,,4106500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-Fibrocimento-kits.jpg"
"FOTUSKP04912KWPMINITRILHOKITS","kits","",912000,,4106500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-912kWp-MiniTrilho-kits.jpg"
"FOTUSKP04720KWPCERAMICOKITSHIBRIDOS","kits","",720000,,3891000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Ceramico-kits-hibridos.jpg"
"FOTUSKP04720KWPFIBROCIMENTOKITSHIBRIDOS","kits","",720000,,3891000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Fibrocimento-kits-hibridos.jpg"
"FOTUSKP04720KWPMINITRILHOKITSHIBRIDOS","kits","",720000,,3891000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-MiniTrilho-kits-hibridos.jpg"
"FOTUSKP04855KWPCERAMICOKITS","kits","",855000,,3850000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Ceramico-kits.jpg"
"FOTUSKP04855KWPFIBROCIMENTOKITS","kits","",855000,,3850000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-Fibrocimento-kits.jpg"
"FOTUSKP04855KWPMINITRILHOKITS","kits","",855000,,3850000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-855kWp-MiniTrilho-kits.jpg"
"FOTUSKP02852KWPCERAMICOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Ceramico-kits.jpg"
"FOTUSKP02852KWPFIBROCIMENTOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-Fibrocimento-kits.jpg"
"FOTUSKP02852KWPMINITRILHOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-852kWp-MiniTrilho-kits.jpg"
"FOTUSKP03852KWPCERAMICOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-852kWp-Ceramico-kits.jpg"
"FOTUSKP03852KWPFIBROCIMENTOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-852kWp-Fibrocimento-kits.jpg"
"FOTUSKP03852KWPMINITRILHOKITS","kits","",852000,,3836500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-852kWp-MiniTrilho-kits.jpg"
"FOTUSKP02840KWPCERAMICOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-Ceramico-kits.jpg"
"FOTUSKP02840KWPFIBROCIMENTOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-Fibrocimento-kits.jpg"
"FOTUSKP02840KWPMINITRILHOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-MiniTrilho-kits.jpg"
"FOTUSKP04840KWPCERAMICOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits.jpg"
"FOTUSKP04840KWPFIBROCIMENTOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits.jpg"
"FOTUSKP04840KWPMINITRILHOKITS","kits","",840000,,3782500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits.jpg"
"FOTUSKP04798KWPCERAMICOKITS","kits","",798000,,3593500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-798kWp-Ceramico-kits.jpg"
"FOTUSKP04798KWPFIBROCIMENTOKITS","kits","",798000,,3593500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-798kWp-Fibrocimento-kits.jpg"
"FOTUSKP04798KWPMINITRILHOKITS","kits","",798000,,3593500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-798kWp-MiniTrilho-kits.jpg"
"FOTUSKP04600KWPCERAMICOKITSHIBRIDOS","kits","",600000,,3243000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Ceramico-kits-hibridos.jpg"
"FOTUSKP04600KWPFIBROCIMENTOKITSHIBRIDOS","kits","",600000,,3243000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Fibrocimento-kits-hibridos.jpg"
"FOTUSKP04600KWPMINITRILHOKITSHIBRIDOS","kits","",600000,,3243000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-MiniTrilho-kits-hibridos.jpg"
"FOTUSKP02720KWPCERAMICOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-720kWp-Ceramico-kits.jpg"
"FOTUSKP02720KWPFIBROCIMENTOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-720kWp-Fibrocimento-kits.jpg"
"FOTUSKP02720KWPMINITRILHOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-720kWp-MiniTrilho-kits.jpg"
"FOTUSKP04720KWPCERAMICOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Ceramico-kits.jpg"
"FOTUSKP04720KWPFIBROCIMENTOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-Fibrocimento-kits.jpg"
"FOTUSKP04720KWPMINITRILHOKITS","kits","",720000,,3242500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-720kWp-MiniTrilho-kits.jpg"
"FOTUSKP02710KWPCERAMICOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-710kWp-Ceramico-kits.jpg"
"FOTUSKP02710KWPFIBROCIMENTOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-710kWp-Fibrocimento-kits.jpg"
"FOTUSKP02710KWPMINITRILHOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-710kWp-MiniTrilho-kits.jpg"
"FOTUSKP03710KWPCERAMICOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-710kWp-Ceramico-kits.jpg"
"FOTUSKP03710KWPFIBROCIMENTOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-710kWp-Fibrocimento-kits.jpg"
"FOTUSKP03710KWPMINITRILHOKITS","kits","",710000,,3197500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-710kWp-MiniTrilho-kits.jpg"
"FOTUSKP04684KWPCERAMICOKITS","kits","",684000,,3080500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-684kWp-Ceramico-kits.jpg"
"FOTUSKP04684KWPFIBROCIMENTOKITS","kits","",684000,,3080500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-684kWp-Fibrocimento-kits.jpg"
"FOTUSKP04684KWPMINITRILHOKITS","kits","",684000,,3080500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-684kWp-MiniTrilho-kits.jpg"
"FOTUSKP02600KWPCERAMICOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-600kWp-Ceramico-kits.jpg"
"FOTUSKP02600KWPFIBROCIMENTOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-600kWp-Fibrocimento-kits.jpg"
"FOTUSKP02600KWPMINITRILHOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-600kWp-MiniTrilho-kits.jpg"
"FOTUSKP04600KWPCERAMICOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Ceramico-kits.jpg"
"FOTUSKP04600KWPFIBROCIMENTOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Fibrocimento-kits.jpg"
"FOTUSKP04600KWPMINITRILHOKITS","kits","",600000,,2702500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-MiniTrilho-kits.jpg"
"FOTUSKP04480KWPCERAMICOKITSHIBRIDOS","kits","",480000,,2595000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-480kWp-Ceramico-kits-hibridos.jpg"
"FOTUSKP04480KWPFIBROCIMENTOKITSHIBRIDOS","kits","",480000,,2595000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-480kWp-Fibrocimento-kits-hibridos.jpg"
"FOTUSKP04480KWPMINITRILHOKITSHIBRIDOS","kits","",480000,,2595000,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-480kWp-MiniTrilho-kits-hibridos.jpg"
"FOTUSKP04570KWPCERAMICOKITS","kits","",570000,,2567500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-570kWp-Ceramico-kits.jpg"
"FOTUSKP04570KWPFIBROCIMENTOKITS","kits","",570000,,2567500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-570kWp-Fibrocimento-kits.jpg"
