sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"IIN00312",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00312.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00312.png","FORTLEV",57387,"png"
"IIN00313",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00313.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00313.png","FORTLEV",64160,"png"
"IIN00316HUAWEISUN2000100KTLM2380V10MPPT",true,1,"https://cdn.yellosolarhub.com/products/HUAWEI/IIN00316-HUAWEI-SUN2000-100KTL-M2-380V-10MPPT.png","https://cdn.yellosolarhub.com/products/HUAWEI/IIN00316-HUAWEI-SUN2000-100KTL-M2-380V-10MPPT.png","HUAWEI",45676,"png"
"IIN00318",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00318.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00318.png","FORTLEV",50849,"png"
"IIN00319",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00319.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00319.png","FORTLEV",71000,"png"
"IIN00325",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00325.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00325.png","FORTLEV",24773,"png"
"IIN00326",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00326.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00326.png","FORTLEV",24989,"png"
"IIN00335",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00335.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00335.png","FORTLEV",47917,"png"
"IIN00336",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00336.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00336.png","FORTLEV",48136,"png"
"IIN00337",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00337.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00337.png","FORTLEV",47946,"png"
"IIN00338",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00338.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00338.png","FORTLEV",57230,"png"
"IIN00339",true,1,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00339.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00339.png","FORTLEV",57440,"png"
