sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"SKU10678310678317545443332146339","https://cdn.yellosolarhub.com/products/estruturas/sku_106783_106783-17545443332146339.jpeg","https://cdn.yellosolarhub.com/products/estruturas/sku_106783_106783-17545443332146339.jpeg|sku_106783_106783-17545443332146339.jpeg","imgs-index",100,11483.49,20,0,"https://cdn.yellosolarhub.com/products/estruturas/sku_106783_106783-17545443332146339.jpeg|[object Object]"
"IIN00239","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00239.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00239.png|IIN00239.png","imgs-index",100,11480.95,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00239.png|[object Object]"
"IIN00195","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00195.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00195.png|IIN00195.png","imgs-index",100,11476.99,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00195.png|[object Object]"
"IMAGEPRODUCT600305","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600305.png","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600305.png|IMAGE_PRODUCT_600305.png","imgs-index",100,11450.49,20,0,"https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600305.png|[object Object]"
"NEOSOLARINVERTERS24972","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_24972.jpg","https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_24972.jpg|neosolar_inverters_24972.jpg","imgs-index",100,11440.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/neosolar_inverters_24972.jpg|[object Object]"
"NEOSOLARINVERTERS27149","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27149.jpg","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27149.jpg|NEOSOLAR_INVERTERS_27149.jpg","imgs-index",100,11440,20,0,"https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27149.jpg|[object Object]"
"IMAGEPRODUCT600381","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600381.png","https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600381.png|IMAGE_PRODUCT_600381.png","imgs-index",100,11435.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/IMAGE_PRODUCT_600381.png|[object Object]"
"ILS00012","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00012.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00012.png|ILS00012.png","imgs-index",100,11407.95,20,0,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/ILS00012.png|[object Object]"
"FOTUSKP04399KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-399kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-399kWp-Fibrocimento-kits.jpg|FOTUS-KP04-399kWp-Fibrocimento-kits.jpg","imgs-index",100,11387,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-399kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP03568KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Fibrocimento-kits.jpg|FOTUS-KP03-568kWp-Fibrocimento-kits.jpg","imgs-index",100,11380,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-568kWp-Fibrocimento-kits.jpg|[object Object]"
