sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"FOTUSKP041368KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg","imgs-index",100,1945.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041311KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Ceramico-kits.jpg|FOTUS-KP04-1311kWp-Ceramico-kits.jpg","imgs-index",100,8980.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP041311KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg","imgs-index",100,3960.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP041311KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg","imgs-index",100,5163.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP021278KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Ceramico-kits.jpg|FOTUS-KP02-1278kWp-Ceramico-kits.jpg","imgs-index",100,4020,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP021278KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg","imgs-index",100,659,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP021278KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg","imgs-index",100,8767.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041254KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Ceramico-kits.jpg|FOTUS-KP04-1254kWp-Ceramico-kits.jpg","imgs-index",100,5520,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP041254KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg","imgs-index",100,8349.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP041254KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","imgs-index",100,11359.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg|[object Object]"
